ym,median_rv_pct,pct_below_0.020
2023-01,0.017218712852446222,63.213244481466056
2023-02,0.01777956263965223,59.70542012353349
2023-03,0.0185688930975033,55.68602626997943
2023-04,0.016740551022196508,64.3610740811274
2023-05,0.014905443607710265,71.19630925867007
2023-06,0.013658904092279267,78.80670809113383
2023-07,0.012231348632969012,81.46338081868912
2023-08,0.01110601453244827,85.41462644132048
2023-09,0.009385421484059048,88.85036943656547
2023-10,0.015124321387211172,69.68051854045339
2023-11,0.012943919545218239,80.68319226118501
2023-12,0.014934405400344873,70.15729682493446
2024-01,0.014182865714709269,76.6718610125659
2024-02,0.010884182752392463,86.2066562118836
2024-03,0.014934657414532215,71.4264962231261
2024-04,0.022362042088790467,40.472805422383864
2024-05,0.018467383011031107,56.993196844357854
2024-06,0.016609214713787047,64.75631110462571
2024-07,0.01716972702024968,63.15387552500955
2024-08,0.01851559166987385,56.68954540933054
2024-09,0.015309068973817196,68.93834189695876
2024-10,0.01568275745830777,70.78818512083399
2024-11,0.019894826392368694,50.49564327794829
2024-12,0.016393763242230193,67.18660677827685
2025-01,0.015308614565237185,71.88020521020721
2025-02,0.018236985462925827,58.03444115388834
2025-03,0.016838975275051196,64.18280829944165
2025-04,0.03338362764481543,14.430844977636003
2025-05,0.02805427680495317,22.08437552109388
2025-06,0.02151180862936128,43.20708825573315
2025-07,0.01630401925576172,67.8074116559921
2025-08,0.015367721037000088,72.50787715106817
2025-09,0.018823128337452033,54.9656111904841
2025-10,0.03408064912440042,14.754202954030687
2025-11,0.028808391175498736,19.904692082111435
2025-12,0.02370441045378161,36.191715029017416
2026-01,0.030655293516034975,20.801699519398202
2026-02,0.039602035436116866,10.975565214215274
2026-03,0.04570422986801183,6.633559165954088
2026-04,0.0310433191695266,18.063533808568067
2026-05,0.028578736106589397,20.894588676884577
2026-06,0.0325152895914226,14.075749010740532
